datano,fitur0,fitur1,fitur2,fitur3,fitur4,fitur5,fitur6,fitur7,fitur8,fitur9,fitur10,fitur11,fitur12,kelas
0,7.114175,-14.925057,-1.511751,-2.281637,-0.061646,3.299549,-5.373090,1.950152,-7.963294,-0.614772,-6.326666,-4.584919,5.422022,03
1,3.786163,-9.364599,-5.725055,-2.812415,-1.861112,1.169869,-7.374896,1.015305,-8.394773,-7.543917,-3.066925,3.435549,-1.572670,03
2,4.578170,-8.067129,-5.808306,-0.100353,-5.233175,4.191367,-4.052416,0.276421,-12.993951,-5.085243,0.621857,-4.186267,-1.777941,03
3,3.327117,-11.100646,-3.394656,-2.100015,-0.716355,1.698959,-8.647915,-0.252173,-2.886701,-5.546857,-2.165006,-0.700499,-1.370165,03
4,8.095311,-17.665753,0.277716,2.037224,1.037769,7.607631,-2.164904,0.903042,0.589228,-1.851660,-0.549519,0.869684,0.383101,03
5,9.386015,-12.090274,-10.041416,-7.033800,-0.413643,2.610722,-8.984795,-4.360619,-5.225214,-9.692802,-1.579412,6.871413,0.915202,03
6,9.626111,-10.422943,-5.553228,-0.977941,-0.146684,8.859569,-3.597136,1.040990,-6.127659,-7.332244,2.073721,5.276140,4.300286,03
7,9.132335,-14.221551,2.080212,2.904946,4.493319,11.802706,-3.435117,3.174360,0.095626,-5.245046,3.249479,3.290528,1.590822,03
8,2.458937,-10.332254,-1.201729,1.117267,-0.668404,9.178632,1.865078,-1.741229,-3.131550,-4.725183,-3.513020,3.751875,1.765620,03
9,11.188020,-10.301970,-6.850157,-3.796079,0.104963,6.634232,-12.224117,0.728980,-9.879469,-12.126815,-5.725040,2.644310,2.316385,03
10,8.716322,-17.031429,4.125697,6.547671,0.397804,7.743720,2.890718,1.970544,-1.729339,0.704875,0.329547,0.706903,2.451702,03
11,6.915262,-12.487827,-5.346707,-1.059327,-3.204980,6.661244,-8.141430,-0.569220,-4.360332,-7.415407,-3.646060,2.959674,-2.776660,03
12,8.048995,-15.051581,-1.760516,1.978165,-0.281728,4.484755,0.440888,1.429081,-3.191224,-2.854215,-2.026775,-0.927639,5.562064,03
13,3.714394,-15.512873,-5.050040,-1.612946,-1.170205,2.506061,-10.846397,-2.924363,-10.874251,-9.400624,2.175064,0.771638,-2.516499,03
